Duracao,HistoricoCredito,Proposito,Valor,Investimentos,Emprego,TempoParcelamento,EstadoCivil,FiadorTerceiros,ResidenciaDesde,Idade,OutrosFinanciamentos,Habitacao,EmprestimoExistente,Profissao,Dependentes,SocioEmpresa,Estrangeiro,Status
48,2,1,5951,2,3.0,2,1,3,2.0,22,3,1.0,1,4,1,0,0,0
12,1,2,2096,2,4.0,2,4,3,3.0,49,3,1.0,1,3,2,0,0,1
42,2,3,7882,2,4.0,2,4,4,4.0,45,3,2.0,1,4,2,0,0,1
24,3,4,4870,2,3.0,3,4,3,4.0,53,3,2.0,2,4,2,0,0,0
36,2,2,9055,1,3.0,2,4,3,4.0,35,3,2.0,1,3,2,1,0,1
24,2,3,2835,3,2.0,3,4,3,4.0,53,3,1.0,1,4,1,0,0,1
12,2,1,3059,4,4.0,2,2,3,4.0,61,3,1.0,1,3,1,0,0,1
12,2,4,1295,2,1.0,3,1,3,1.0,25,3,3.0,1,4,1,0,0,0
12,2,1,1567,2,3.0,1,1,3,1.0,22,3,1.0,1,4,1,1,0,1
24,1,4,1199,2,2.0,4,4,3,4.0,60,3,1.0,2,3,1,0,0,0
24,2,1,1282,5,3.0,4,1,3,2.0,32,3,1.0,1,3,1,0,0,0
24,1,1,2424,1,2.0,4,4,3,4.0,53,3,1.0,2,4,1,0,0,1
30,4,6,8072,1,1.0,2,4,3,3.0,25,1,1.0,3,4,1,0,0,1
24,2,5,12579,2,2.0,4,1,3,2.0,44,3,2.0,1,1,1,1,0,0
24,2,1,3430,3,2.0,3,4,3,2.0,31,3,1.0,1,4,2,1,0,1
9,1,4,2134,2,3.0,4,4,3,4.0,48,3,1.0,3,4,1,1,0,1
6,2,1,2647,3,3.0,2,4,3,3.0,44,3,3.0,1,4,2,0,0,1
10,1,4,2241,2,1.0,1,4,3,3.0,48,3,3.0,2,3,2,0,1,1
12,1,5,1804,5,1.0,3,4,3,4.0,44,3,1.0,1,4,1,0,0,1
10,1,3,2069,1,3.0,2,3,3,1.0,26,3,1.0,2,4,1,0,1,1
6,2,3,1374,2,3.0,1,4,3,2.0,36,1,1.0,1,3,1,1,0,1
6,4,1,426,2,2.0,4,3,3,4.0,39,3,1.0,1,3,1,0,0,1
12,5,1,409,4,3.0,3,1,3,3.0,42,3,3.0,2,4,1,0,0,1
7,2,1,2415,2,3.0,3,4,4,2.0,34,3,1.0,1,4,1,0,0,1
60,3,6,6836,2,2.0,3,4,3,4.0,63,3,1.0,2,4,1,1,0,0
18,2,6,1913,4,1.0,3,3,3,3.0,36,1,1.0,1,4,1,1,0,1
24,2,3,4020,2,3.0,2,4,3,2.0,27,2,1.0,1,4,1,0,0,1
18,2,4,5866,5,3.0,2,4,3,2.0,30,3,1.0,2,4,1,1,0,1
12,1,6,1264,1,2.0,4,4,3,4.0,57,3,3.0,1,3,1,0,0,1
45,1,1,4746,2,1.0,4,4,3,2.0,25,3,1.0,2,3,1,0,0,0
48,1,2,6110,2,3.0,1,4,3,3.0,31,1,2.0,1,4,1,1,0,1
18,2,1,2100,2,3.0,4,4,2,2.0,37,2,1.0,1,4,1,0,0,0
10,2,7,1225,2,3.0,2,4,3,2.0,37,3,1.0,1,4,1,1,0,1
9,2,1,458,2,3.0,4,4,3,3.0,24,3,1.0,1,4,1,0,0,1
30,2,1,2333,3,2.0,4,4,3,2.0,30,1,1.0,1,1,1,0,0,1
12,2,1,1158,3,3.0,3,2,3,1.0,26,3,1.0,1,4,1,1,0,1
18,3,8,6204,2,3.0,2,4,3,4.0,44,3,1.0,1,3,2,1,0,1
30,1,5,6187,5,4.0,1,3,3,4.0,24,3,3.0,2,4,1,0,0,1
11,1,4,1393,2,1.0,4,1,3,4.0,35,3,1.0,2,1,1,0,0,1
36,2,1,2299,3,2.0,4,4,3,4.0,39,3,1.0,1,4,1,0,0,1
6,2,5,1352,3,5.0,1,1,3,2.0,23,3,3.0,1,2,1,1,0,1
11,1,4,7228,2,3.0,1,4,3,4.0,39,3,1.0,2,3,1,0,0,1
12,2,1,2073,5,3.0,4,1,2,2.0,28,3,1.0,1,4,1,0,0,1
24,3,3,2333,1,1.0,4,4,3,2.0,29,1,1.0,1,3,1,0,0,1
27,3,5,5965,2,2.0,1,4,3,2.0,30,3,1.0,2,1,1,1,0,1
12,2,1,1262,2,3.0,3,4,3,2.0,25,3,1.0,1,4,1,0,0,1
18,2,5,3378,1,3.0,2,4,3,1.0,31,3,1.0,1,4,1,1,0,1
36,3,4,2225,2,2.0,4,4,3,4.0,57,1,2.0,2,4,1,1,0,0
12,2,1,6468,1,5.0,2,4,3,1.0,52,3,1.0,1,1,1,1,0,0
36,1,1,9566,2,3.0,2,1,3,2.0,31,2,1.0,2,4,1,0,0,1
18,2,4,1961,2,2.0,3,1,3,2.0,23,3,1.0,1,1,1,0,0,1
36,1,3,6229,2,1.0,4,1,2,4.0,23,3,3.0,2,3,1,1,0,0
9,2,6,1391,2,3.0,2,3,3,1.0,27,1,1.0,1,4,1,1,0,1
15,1,1,1537,1,2.0,4,4,4,4.0,50,3,1.0,2,4,1,1,0,1
36,4,6,1953,2,2.0,4,4,3,4.0,61,3,2.0,1,1,1,1,0,0
48,4,6,14421,2,3.0,2,4,3,2.0,25,3,1.0,1,4,1,1,0,0
24,2,1,3181,2,1.0,4,1,3,4.0,26,3,1.0,1,4,1,1,0,1
27,2,8,5190,1,2.0,4,4,3,4.0,48,3,1.0,4,4,2,1,0,1
